date,home_team,home_score,away_score,away_team,neutral,knockout,stage,tournament_name,tournament_year
2001-01-11,Romania,0,1,Jordan,True,False,,Millennium Cup,2001
2001-01-12,Bosnia and Herzegovina,2,0,Bangladesh,True,False,,Millennium Cup,2001
2001-01-12,Uzbekistan,5,0,Bahrain,True,False,,Millennium Cup,2001
2001-01-13,India,0,3,Iceland,False,False,,Millennium Cup,2001
2001-01-14,Romania,4,2,Hong Kong,True,False,,Millennium Cup,2001
2001-01-14,Serbia,1,1,Bosnia and Herzegovina,True,False,,Millennium Cup,2001
2001-01-15,Chile,2,0,Bahrain,True,False,,Millennium Cup,2001
2001-01-16,Bangladesh,1,4,Serbia,True,False,,Millennium Cup,2001
2001-01-16,Hong Kong,0,2,Jordan,True,False,,Millennium Cup,2001
2001-01-17,Chile,2,0,Uzbekistan,True,False,,Millennium Cup,2001
2001-01-20,Chile,2,0,Iceland,True,False,,Millennium Cup,2001
2001-01-20,Serbia,2,0,Romania,True,False,,Millennium Cup,2001
2001-01-22,Bosnia and Herzegovina,1,0,Chile,True,False,,Millennium Cup,2001
2001-01-23,Serbia,1,0,Japan,True,False,,Millennium Cup,2001
2001-01-25,Bosnia and Herzegovina,0,2,Serbia,True,False,,Millennium Cup,2001
